sep=,
Country,C&Cs,Internet Users,Normalized
BA,1,2631616,3.79995E-07
BD,1,10637566,9.40065E-08
BE,1,8582076,1.16522E-07
BH,1,1153199,8.67153E-07
CH,1,6932555,1.44247E-07
CO,1,23650570,4.22823E-08
CU,1,2843893,3.51631E-07
GR,1,6449377,1.55054E-07
IL,1,5456586,1.83265E-07
KE,1,17174686,5.82252E-08
PK,1,21063037,4.74765E-08
AR,2,25523978,7.83577E-08
HN,2,1503827,1.32994E-06
SE,2,9144140,2.18719E-07
TW,2,18639773,1.07297E-07
CL,3,11449268,2.62025E-07
IN,3,352340854,8.51448E-09
IR,3,25074125,1.19645E-07
IT,3,35942120,8.34675E-08
KR,3,41499326,7.22903E-08
LV,3,1638939,1.83045E-06
PA,3,1526986,1.96465E-06
AU,4,18477876,2.16475E-07
BG,4,3704564,1.07975E-06
FR,4,54027428,7.40365E-08
IE,4,3737096,1.07035E-06
PL,4,24123917,1.65811E-07
CZ,5,7862937,6.35895E-07
ES,5,33903997,1.47475E-07
MX,5,51638402,9.68272E-08
BR,6,103720965,5.78475E-08
ID,6,39733532,1.51006E-07
CN,7,668110314,1.04773E-08
GB,7,56954584,1.22905E-07
TR,7,37321199,1.87561E-07
CA,9,29659525,3.03444E-07
JP,9,109755777,8.20002E-08
TH,10,19533675,5.11936E-07
VN,10,40597779,2.46319E-07
ZA,10,23765937,4.2077E-07
RO,11,10843923,1.01439E-06
DE,16,68131244,2.34841E-07
UA,16,18631600,8.58756E-07
NL,25,15789408,1.58334E-06
RU,29,87495296,3.31446E-07
US,89,266441302,3.34032E-07